Mu X Pos,Mu Y Pos,Mu X Vel,Mu Y Vel,Mu X Acc,Mu Y Acc,Obs X Pos,Obs Y Pos
-19.0824486266 ,  174.792193322 ,  -34.3682742998 ,  15.7202430884 ,  -5.37804894165 ,  7.09757589447 , 0.497258727696 , 195.483419781
-20.5289461447 ,  185.175150353 ,  -30.9443628445 ,  21.4466786994 ,  -3.82748319846 ,  7.88374428143 , -0.67010964826 , 200.697986306
-19.9655111308 ,  193.419727313 ,  -26.3595974174 ,  25.0607070457 ,  -2.12108396233 ,  8.02721614555 , 3.0830323015 , 199.32540141
-14.944489134 ,  199.207709605 ,  -19.328842707 ,  26.5698133422 ,  0.0319780809387 ,  7.60197581181 , 16.2688320203 , 196.322828939
-9.71945564318 ,  205.562846193 ,  -12.8429351573 ,  28.0985455492 ,  1.83446785707 ,  7.20437892188 , 17.0235454893 , 203.370846667
-4.14855147183 ,  213.780065024 ,  -6.81104040831 ,  30.4887741947 ,  3.34306395135 ,  7.04504590542 , 19.0475849067 , 215.824648826
3.93106268834 ,  217.371891223 ,  0.240719972182 ,  29.5000524482 ,  4.94375849105 ,  6.01850575931 , 29.6480853029 , 205.262441068
12.271192829 ,  221.283005264 ,  6.74881946137 ,  28.4838414496 ,  6.22179729319 ,  5.0490085774 , 33.4904741836 , 210.105388773
21.415833575 ,  220.710609555 ,  12.98171061 ,  24.599957182 ,  7.27879077944 ,  3.44022226078 , 39.908082046 , 198.938112959
32.2296997099 ,  222.115794729 ,  19.470169858 ,  22.2424677529 ,  8.27533880363 ,  2.36959644706 , 50.7953712078 , 208.523630426
42.9230747955 ,  220.986567263 ,  25.0483885173 ,  18.3950949826 ,  8.90690216794 ,  1.02132530507 , 56.5271712646 , 202.449992743
52.4420100509 ,  219.511047406 ,  29.0831665437 ,  14.5658342139 ,  9.04123159947 ,  -0.192617510539 , 58.7360317422 , 202.664460078
57.9974835681 ,  210.296931481 ,  29.962409495 ,  6.23480280815 ,  8.3277320223 ,  -2.40884464194 , 51.1389025956 , 176.69806271
63.779261425 ,  202.366661729 ,  30.7869539214 ,  -0.360809078036 ,  7.67550679565 ,  -3.95756146129 , 57.9799890982 , 177.92017922
70.4578287254 ,  190.845628018 ,  31.5801606718 ,  -8.5811766533 ,  7.0046817339 ,  -5.71845501598 , 64.5969754967 , 162.353197062
72.6886882794 ,  181.264348573 ,  29.4424699055 ,  -14.6148211147 ,  5.66594918253 ,  -6.73832700634 , 56.1125622918 , 163.347251282
72.999987547 ,  173.163912681 ,  26.2358360149 ,  -18.9931541227 ,  4.19058280004 ,  -7.2285875129 , 53.5973295471 , 162.707832698
73.776835474 ,  163.875430564 ,  23.2880012101 ,  -23.4398504443 ,  2.89687419088 ,  -7.63347867841 , 56.9475939785 , 154.169305038
71.6375353003 ,  154.380869442 ,  18.7359457476 ,  -27.3703199275 ,  1.32856804125 ,  -7.84319559755 , 49.8371208034 , 147.130823897
67.5071205907 ,  147.252535013 ,  13.3475383471 ,  -29.2513901142 ,  -0.29014417957 ,  -7.49648352116 , 44.0195211398 , 148.450564811
59.8025805485 ,  141.563880354 ,  6.27671563429 ,  -29.8869588142 ,  -2.16089961777 ,  -6.85608327662 , 31.0066608377 , 147.330197181
52.3895610684 ,  135.285638985 ,  0.00309091798766 ,  -30.4865711485 ,  -3.63138963079 ,  -6.22596097476 , 29.1815256381 , 140.746745679
44.1615440828 ,  131.160774365 ,  -6.0997721208 ,  -29.4517951731 ,  -4.89183429461 ,  -5.22472174232 , 23.4958281257 , 142.578499165
35.2729400883 ,  130.378033665 ,  -11.8914849798 ,  -26.3021301481 ,  -5.92890270921 ,  -3.7839897252 , 17.252532401 , 149.188598969
24.7657178086 ,  134.624549606 ,  -17.9678408541 ,  -20.1966258064 ,  -6.90621170195 ,  -1.7413710933 , 6.759976814 , 163.854864951
13.8729029256 ,  135.387775437 ,  -23.5269435015 ,  -16.7794477685 ,  -7.63497841904 ,  -0.57223026346 , -1.14864699285 , 151.380443238
5.08142797282 ,  141.278387664 ,  -27.0398203618 ,  -10.4474186192 ,  -7.74809214652 ,  1.20677812077 , -0.694827686898 , 167.992604792
-2.39629162382 ,  148.537456922 ,  -29.1342654156 ,  -3.82509328987 ,  -7.45733906741 ,  2.87167951483 , -2.06004446414 , 174.314535085
-4.12548962915 ,  156.876024678 ,  -27.2849444564 ,  2.7601477739 ,  -6.19436951662 ,  4.34807770272 , 11.9640652893 , 180.690875131
-8.56792728684 ,  168.629121563 ,  -26.8366696856 ,  10.7867720809 ,  -5.34942933811 ,  5.99182986561 , 0.682359384332 , 195.653681458
-11.7246030121 ,  179.594482047 ,  -25.6516230856 ,  17.3473910059 ,  -4.41570648793 ,  7.09682057944 , -0.88071141478 , 199.361497536
-10.5855020164 ,  189.542574392 ,  -21.8289369718 ,  22.480161502 ,  -2.91075304146 ,  7.71398064202 , 9.99656251459 , 202.577174163
-10.2876745011 ,  197.81883329 ,  -18.8341345665 ,  25.9344213536 ,  -1.75749710129 ,  7.83575303451 , 5.37032242628 , 203.622949625
-5.70362206849 ,  206.428066501 ,  -13.3347397208 ,  29.0246728817 ,  -0.0865932403297 ,  7.81642322085 , 19.2322848452 , 210.464980069
0.164979548383 ,  213.975226424 ,  -7.49993187876 ,  30.9333959087 ,  1.50148417226 ,  7.47338569998 , 24.6667938464 , 213.086078493
