x_pos,x_vel,x_acc,y_pos,y_vel,y_acc,x_obs,y_obs
-68.6382176914,-13.562701466,0.0481183258,-8.1750903214,23.5129482723,1.3084736983,-77.2405970127,-3.9787625391
-91.8747846708,-26.4884083287,-5.7044351386,14.218149651,30.668537775,4.1146275564,-82.4244895778,-4.3763244607
-96.6984819286,-15.0551650176,1.2033956679,3.7756721608,2.3545762204,-9.4772740547,-96.8725308221,24.4100319455
-110.241758973,-14.2711648119,1.080299898,47.518278223,30.2061892971,5.1163401443,-117.96530556,26.4286570687
-135.523777896,-25.5037165374,-3.837151759,31.5850204324,1.1785828924,-8.3110654289,-114.415805238,44.8082252724
-116.197212424,5.1392144765,10.2393963007,55.1417091066,15.8306828579,0.5072650403,-149.78021249,48.9794742854
-175.784217707,-42.4157865679,-13.001005167,55.8355916077,5.9918493011,-3.7571786038,-158.813186901,65.5972587319
-181.865357027,-25.0151997073,-1.4619900305,80.142777545,19.233193308,2.8800154473,-176.155354725,83.8728422182
-193.98766174,-16.6519004365,2.2438067257,108.668980423,28.4295875177,5.3008308577,-193.10859187,89.008937811
-205.59345448,-13.3672761826,2.769108258,94.9090459217,2.3130449524,-6.4473257547,-201.094557036,115.308166013
-206.346563155,-4.5931690144,5.5764983723,131.963373411,28.3801180566,6.2820793497,-219.249494063,118.874385387
-239.233460834,-22.0673330298,-3.2460449247,134.38131649,11.3241897182,-2.667682869,-236.482472365,143.99037105
-256.741427792,-20.8637047992,-1.6556379998,166.214296911,24.221113462,2.887522864,-252.183773893,160.058743307
-265.244607903,-15.4957229268,0.9103732096,174.739618656,17.492580611,-0.5781241331,-259.507723016,175.419098696
-265.655161503,-6.3304161588,4.5350621307,187.849814144,18.105334434,-0.1488138331,-259.840041706,198.087990828
-258.592259638,6.046813998,8.6253237074,218.711085628,34.223080498,7.0525546979,-279.83452373,202.639266671
-290.667813853,-22.6996242071,-7.0647790875,214.778293863,12.8326942959,-4.8185194226,-286.371868838,235.08156004
-302.892746896,-20.9856006486,-3.8477133293,265.025269106,44.3463356991,10.3858051604,-283.827120852,245.243319995
-282.746098686,7.6423554616,9.4871011179,263.335049015,19.5512310661,-3.4500174969,-289.585950439,266.019500559
-286.708675614,4.4303170295,4.7813063516,285.341694532,21.0584733256,-1.6031239556,-295.35071301,289.524201012
-298.600921918,-5.5040455562,-0.7672579168,309.289295418,26.417270585,1.0822273038,-288.25153584,304.427092968
-284.314056538,9.7890095425,6.1085990052,318.818669566,19.7194210976,-2.1480907188,-302.359186481,313.353807484
-308.149093479,-14.7995778521,-6.8355904521,322.131983971,9.5363853699,-6.0681628032,-296.431987619,341.182239203
-298.728422815,-0.1788211216,1.9304518687,362.373362971,36.8624504112,8.1841061085,-300.24379273,351.288679561
-301.225764796,-1.3074127138,0.8004681311,370.7346562,24.2122749629,-0.0815403614,-303.027636681,379.292918623
-305.367741991,-3.70993233,-0.508733427,404.494942964,38.3310731214,6.1367099994,-310.274467962,399.840243066
-315.882803915,-11.6281390018,-4.0425502892,420.805216646,34.7887766043,2.784401946,-305.198382335,394.766469943
-305.711603157,3.3168824503,4.0498229852,398.853413485,-6.8530534448,-16.9373262104,-308.382567946,396.176644873
-307.527331049,1.4799000078,2.0383558297,387.065763551,-21.3674532946,-18.9531641462,-305.992865584,392.184843223
-303.165080735,5.4899692292,3.2121100809,376.46071181,-26.2689230836,-15.0374412678,-293.812743047,396.465706494
-281.716522316,23.249285227,10.3554014389,391.680960581,-3.0732429243,0.2423219746,-290.410996062,402.247973713
-280.075279351,15.7465989173,3.8065177927,407.910599429,14.0548133836,8.2016466579,-293.80183238,389.338432404
